,gestures,intersection
0,G3->0,0.024073818366433807
1,G3->3,0.05336691064135135
2,G4->1,0.07017429656409248
3,G3->1,0.08688919373719511
4,G4->0,0.1470230428691854
5,G4->2,0.16668533802495014
6,G2->1,0.16684017591612743
7,G2->2,0.1684522008430012
8,G11->0,0.18841524378952978
9,G6->1,0.20840030385187877
10,G6->0,0.2176110119556777
11,G2->3,0.22844875427450098
12,G2->0,0.24368935847334783
13,G6->3,0.2959020218289062
14,G1->0,0.3039850495181636
15,G3->2,0.3415251846074035
16,G6->2,0.409875987916372
