,gestures,intersection
0,G6->3,0.010074682838547172
1,G4->2,0.020474532218166835
2,G11->0,0.061748806018862616
3,G2->2,0.1103162036749547
4,G4->1,0.11126439083255127
5,G3->0,0.131709884302571
6,G3->1,0.15638848712281367
7,G2->1,0.193170490309877
8,G2->0,0.2024026410630852
9,G6->2,0.20863879789106177
10,G3->3,0.2198949094099883
11,G1->0,0.22035519716242458
12,G2->3,0.28512902416034797
13,G4->0,0.3852480504765523
14,G6->1,0.46327209441053474
15,G3->2,0.5791628939171571
16,G6->0,0.6947260843613188
