,gestures,intersection
0,G3->3,0.058046614880547576
1,G3->0,0.06129934192817305
2,G1->0,0.08188995397625433
3,G4->1,0.10011734432685031
4,G2->2,0.10444548286735417
5,G4->2,0.11960240406021523
6,G2->3,0.14230926085603948
7,G11->0,0.14231752117945573
8,G2->0,0.15259894780950398
9,G3->1,0.18307338289068334
10,G6->2,0.21097367303827563
11,G6->0,0.2132566041615135
12,G4->0,0.22030637890327678
13,G2->1,0.24233615339926928
14,G3->2,0.2555453754681251
15,G6->3,0.28076030441945055
16,G6->1,0.3343543733988277
