,gestures,intersection
0,G3->0,0.005127726767677311
1,G3->1,0.03641453628046811
2,G3->3,0.041393589077503457
3,G4->1,0.047530597043599486
4,G2->2,0.06423496228532975
5,G2->3,0.08725530625520699
6,G4->0,0.11353872364284999
7,G2->0,0.13330492352182874
8,G11->0,0.1608014461539417
9,G4->2,0.17236691136182847
10,G2->1,0.21929560684307992
11,G6->3,0.22361521261986309
12,G6->1,0.22538972253412107
13,G6->2,0.233071444113792
14,G3->2,0.2799539924878132
15,G6->0,0.3153316660043769
16,G1->0,0.5658737157044974
