,gestures,intersection
0,G1->0,0.01639344262295082
1,G4->2,0.06918238993710692
2,G4->1,0.07207207207207207
3,G2->3,0.07311827956989247
4,G11->0,0.10810810810810811
5,G4->0,0.12698412698412698
6,G2->0,0.13405797101449277
7,G3->3,0.19634703196347028
8,G6->3,0.20596205962059622
9,G3->2,0.32718327183271834
10,G2->1,0.34714003944773175
11,G2->2,0.4026845637583893
12,G3->0,0.46732026143790856
13,G6->0,0.49275362318840576
14,G3->1,0.5367231638418078
15,G6->1,0.6837606837606837
16,G6->2,0.7040816326530613
