,gestures,intersection
0,G2->1,0.14976275207591935
1,G1->0,0.29824561403508776
2,G4->2,0.3380281690140845
3,G4->1,0.35658914728682173
4,G2->2,0.3944153577661431
5,G2->3,0.41750841750841755
6,G2->0,0.46548323471400394
7,G3->2,0.48648648648648646
8,G3->3,0.5015290519877675
9,G8->0,0.5274261603375527
10,G6->3,0.5352112676056339
11,G4->0,0.5435897435897435
12,G6->2,0.6296296296296297
13,G3->0,0.6417910447761194
14,G11->0,0.6881720430107526
15,G6->1,0.6927803379416283
16,G5->0,0.7037037037037037
17,G6->0,0.8230452674897119
18,G3->1,0.8365384615384616
