,gestures,intersection
0,G2->2,0.026204316959034232
1,G3->1,0.029306095423007734
2,G2->0,0.03298871770244965
3,G1->0,0.03704078575533664
4,G2->3,0.04596613342828243
5,G4->0,0.052423252324738
6,G4->1,0.07660683280169657
7,G5->0,0.0867180707949088
8,G3->0,0.0977922546523795
9,G8->0,0.10993590976155339
10,G3->2,0.1484975390094981
11,G2->1,0.17192634884953517
12,G6->2,0.195595644357445
13,G6->3,0.2054003924416304
14,G11->0,0.22296056991858829
15,G3->3,0.25055118330819076
16,G4->2,0.2528192967902969
17,G6->0,0.2877681368365376
18,G6->1,0.38390276441026483
