,gestures,intersection
0,G3->1,0.0177936515837104
1,G3->3,0.019430597222222228
2,G2->1,0.02284959349593495
3,G3->0,0.023985176470588232
4,G8->0,0.025034042105263145
5,G2->2,0.028516048000000006
6,G3->2,0.029189355555555553
7,G2->3,0.030667261146496795
8,G2->0,0.03740143865030674
9,G4->0,0.044572352272727274
10,G4->1,0.04912817499999999
11,G6->2,0.050073238636363634
12,G11->0,0.06363377343750001
13,G4->2,0.06523410810810808
14,G5->0,0.10533640677966105
15,G6->1,0.11628146511627907
16,G6->0,0.14855326923076925
