,gestures,intersection
0,G1->0,0.28378378378378377
1,G4->1,0.3753753753753754
2,G8->0,0.434052757793765
3,G2->0,0.49809885931558934
4,G3->0,0.5081967213114754
5,G4->2,0.5403508771929825
6,G3->3,0.6
7,G4->0,0.6119402985074627
8,G2->2,0.6734463276836159
9,G6->2,0.7056277056277057
10,G6->0,0.71
11,G6->1,0.7254901960784313
12,G2->3,0.7434640522875817
13,G2->1,0.7588996763754045
14,G11->0,0.7802197802197802
15,G3->2,0.8218390804597702
16,G6->3,0.8241758241758242
17,G3->1,0.8564102564102565
18,G5->0,0.9137931034482758
