,gestures,intersection
0,G4->1,0.18333333333333332
1,G2->2,0.23809523809523808
2,G6->3,0.29651162790697677
3,G8->0,0.33098591549295775
4,G1->0,0.33540372670807456
5,G2->1,0.3523809523809524
6,G2->3,0.5338983050847458
7,G2->0,0.5919282511210763
8,G11->0,0.6122448979591837
9,G6->2,0.6410256410256411
10,G4->0,0.671875
11,G3->0,0.7692307692307693
12,G4->2,0.7777777777777778
13,G5->0,0.782608695652174
14,G6->1,0.8076923076923077
15,G3->3,0.8227848101265823
16,G3->1,0.8484848484848485
17,G6->0,0.8970588235294118
18,G3->2,0.9107142857142857
