,gestures,intersection
0,G6->2,0.00966245222627843
1,G2->0,0.01649435314540663
2,G4->2,0.018168679974408256
3,G4->0,0.022896617240208444
4,G2->2,0.02831423709102647
5,G1->0,0.0295944012683831
6,G4->1,0.0302830974010616
7,G11->0,0.03676655155183266
8,G3->1,0.04564608313349597
9,G3->2,0.04585017215906826
10,G6->0,0.05558938283991079
11,G6->3,0.07364217091508844
12,G3->3,0.07878506471849978
13,G3->0,0.10467958441041576
14,G2->3,0.10513687187839897
15,G2->1,0.12622822252098256
16,G8->0,0.16421365792076553
17,G5->0,0.2120838589626878
18,G6->1,0.23088370205890882
