,gestures,intersection
0,G2->2,0.015654065173116096
1,G3->3,0.017373962264150947
2,G2->3,0.019548960725075542
3,G3->0,0.021769200000000006
4,G3->2,0.023193400000000006
5,G8->0,0.0270756862745098
6,G4->2,0.028056842105263165
7,G2->1,0.0288973567839196
8,G4->0,0.029154321428571422
9,G2->0,0.029429266949152513
10,G4->1,0.032901581632653054
11,G3->1,0.03967332558139534
12,G6->2,0.04598121100917432
13,G11->0,0.046504553333333365
14,G6->1,0.0483537142857143
15,G6->0,0.05409625862068963
16,G5->0,0.057906785234899394
