,gestures,intersection
0,G4->1,0.18854076562500005
1,G3->1,0.18905793999999998
2,G2->3,0.21159269187675064
3,G3->3,0.21454182191780832
4,G6->1,0.21982739495798323
5,G3->2,0.23401865094339624
6,G5->0,0.23740642073170734
7,G3->0,0.251860909090909
8,G2->2,0.2579277781818184
9,G6->2,0.26451467213114765
10,G4->2,0.2650611348314608
11,G4->0,0.29352188349514563
12,G2->0,0.30115602272727265
13,G8->0,0.36605651190476196
14,G6->0,0.40612936744186034
15,G11->0,0.5349757173144877
16,G2->1,0.5551150585106381
