,gestures,intersection
0,G3->2,0.01608406603773584
1,G3->0,0.016865477272727265
2,G3->1,0.018303479999999997
3,G2->3,0.019944675070028017
4,G3->3,0.02073256164383562
5,G2->2,0.027087887272727266
6,G2->1,0.027372276595744677
7,G8->0,0.027947273809523804
8,G5->0,0.028738359756097558
9,G6->0,0.030465683720930215
10,G4->2,0.03087991011235956
11,G4->1,0.0345808125
12,G6->2,0.04009218852459016
13,G4->0,0.04057632038834952
14,G6->1,0.04505407563025209
15,G2->0,0.0496892803030303
16,G11->0,0.06417149469964664
