,gestures,intersection
0,G3->0,0.01674426168224299
1,G2->1,0.017157469798657704
2,G2->3,0.017829620253164574
3,G3->1,0.017931087499999998
4,G3->3,0.01844061261261262
5,G3->2,0.02006461728395061
6,G2->0,0.024421235849056606
7,G6->0,0.026743999999999993
8,G6->2,0.02737696951219513
9,G4->0,0.02891257303370786
10,G4->2,0.03047701769911504
11,G4->1,0.03244663440860216
12,G5->0,0.033375745856353584
13,G2->2,0.03500039204545455
14,G11->0,0.036234553672316414
15,G6->1,0.037493307692307694
16,G8->0,0.05170638917525775
