,gestures,intersection
0,G2->3,0.18243922041390392
1,G8->0,0.2520045819014891
2,G1->0,0.28095238095238095
3,G2->1,0.3318419090231171
4,G2->2,0.35984848484848486
5,G2->0,0.3810272536687631
6,G4->1,0.43010752688172044
7,G4->2,0.44542772861356933
8,G3->0,0.4714434060228453
9,G5->0,0.4966236955187232
10,G11->0,0.5210295040803515
11,G6->2,0.5243902439024389
12,G3->2,0.5267489711934157
13,G4->0,0.5443196004993758
14,G3->3,0.5785785785785786
15,G3->1,0.6375
16,G6->1,0.6391941391941391
17,G6->3,0.6831275720164609
18,G6->0,0.7533875338753387
