,gestures,intersection
0,G2->3,0.03493013972055888
1,G4->1,0.0440771349862259
2,G2->2,0.046511627906976744
3,G1->0,0.06481481481481481
4,G2->0,0.0857142857142857
5,G3->0,0.10416666666666667
6,G4->0,0.13285024154589373
7,G5->0,0.14262023217247097
8,G8->0,0.15664845173041894
9,G4->2,0.18705035971223025
10,G3->2,0.19649805447470814
11,G3->1,0.19718309859154928
12,G3->3,0.19907407407407407
13,G2->1,0.22181372549019607
14,G6->2,0.3640350877192982
15,G11->0,0.43537414965986393
16,G6->1,0.6506849315068494
17,G6->0,0.6595238095238095
18,G6->3,0.7575757575757577
