,gestures,intersection
0,G2->1,0.07720588235294118
1,G2->3,0.12874251497005987
2,G2->2,0.13372093023255813
3,G3->0,0.2375
4,G2->0,0.3
5,G8->0,0.32786885245901637
6,G6->2,0.35526315789473684
7,G6->3,0.37662337662337664
8,G5->0,0.4626865671641791
9,G4->2,0.4748201438848921
10,G3->2,0.4961089494163424
11,G1->0,0.5138888888888888
12,G3->3,0.5833333333333334
13,G4->1,0.6446280991735537
14,G6->0,0.6785714285714286
15,G3->1,0.6901408450704225
16,G11->0,0.7040816326530612
17,G6->1,0.7945205479452054
18,G4->0,0.8478260869565217
