,gestures,intersection
0,G1->0,0.18055555555555555
1,G2->3,0.18762475049900199
2,G2->2,0.187984496124031
3,G3->2,0.22178988326848248
4,G2->1,0.2696078431372549
5,G2->0,0.3253968253968254
6,G4->2,0.3621103117505995
7,G3->3,0.3657407407407407
8,G3->1,0.39906103286384975
9,G5->0,0.4013266998341625
10,G6->1,0.4155251141552512
11,G4->1,0.43526170798898073
12,G3->0,0.4791666666666667
13,G11->0,0.554421768707483
14,G8->0,0.5683060109289617
15,G6->3,0.6277056277056278
16,G4->0,0.6280193236714976
17,G6->0,0.6547619047619048
18,G6->2,0.6578947368421053
