,gestures,intersection
0,G2->3,0.05867665418227216
1,G1->0,0.1176470588235294
2,G4->1,0.16465863453815263
3,G2->0,0.1656726308813784
4,G3->1,0.19806763285024154
5,G11->0,0.21153846153846154
6,G2->2,0.26466380543633766
7,G2->1,0.2761194029850746
8,G3->0,0.3641456582633053
9,G3->3,0.40096618357487923
10,G5->0,0.42522522522522516
11,G3->2,0.4761904761904761
12,G4->0,0.4767932489451477
13,G6->1,0.5087719298245613
14,G8->0,0.6050724637681159
15,G4->2,0.6129032258064516
16,G6->0,0.6875
17,G6->3,0.7651515151515151
18,G6->2,0.8378378378378377
