,gestures,intersection
0,G4->1,0.357429718875502
1,G2->0,0.45924453280318095
2,G4->2,0.467741935483871
3,G2->2,0.542203147353362
4,G2->3,0.5468164794007491
5,G3->0,0.6050420168067228
6,G2->1,0.6144278606965173
7,G5->0,0.6216216216216216
8,G8->0,0.6231884057971014
9,G1->0,0.6274509803921569
10,G4->0,0.6497890295358649
11,G3->3,0.7342995169082126
12,G11->0,0.7435897435897436
13,G6->0,0.7552083333333334
14,G6->3,0.7803030303030303
15,G3->1,0.7971014492753623
16,G3->2,0.8042328042328042
17,G6->2,0.8738738738738738
18,G6->1,0.8903508771929824
