,gestures,intersection
0,G2->0,0.04970178926441352
1,G4->1,0.1566265060240964
2,G4->2,0.20967741935483872
3,G2->1,0.3805970149253731
4,G6->2,0.40540540540540543
5,G2->2,0.5236051502145923
6,G2->3,0.5280898876404494
7,G6->0,0.59375
8,G6->1,0.6842105263157895
9,G1->0,0.7058823529411765
10,G5->0,0.7135135135135136
11,G8->0,0.717391304347826
12,G4->0,0.7848101265822784
13,G3->1,0.7971014492753623
14,G3->0,0.8151260504201681
15,G3->2,0.8571428571428571
16,G6->3,0.8863636363636364
17,G3->3,0.9130434782608695
18,G11->0,0.9230769230769231
