,gestures,intersection
0,G2->3,0.02241347191011237
1,G4->2,0.04681174193548389
2,G2->2,0.06711454506437768
3,G3->3,0.06787200000000003
4,G4->1,0.07182262650602417
5,G6->1,0.07196598684210524
6,G2->0,0.10674070974155078
7,G4->0,0.11121745569620253
8,G6->0,0.11680903124999997
9,G6->2,0.14506829729729728
10,G3->2,0.15696103174603176
11,G2->1,0.17566917910447755
12,G8->0,0.1885544347826087
13,G3->0,0.2065132605042016
14,G5->0,0.2944542324324324
15,G3->1,0.33581555072463776
16,G11->0,0.36577021153846156
