,gestures,intersection
0,G3->0,0.011855310924369747
1,G3->2,0.016117571428571426
2,G3->3,0.01729392753623189
3,G2->3,0.018013610486891377
4,G3->1,0.019554159420289857
5,G2->0,0.0229779662027833
6,G8->0,0.02992935869565216
7,G2->2,0.03343478111587982
8,G2->1,0.03735401492537316
9,G4->0,0.038616810126582274
10,G5->0,0.043177302702702716
11,G4->2,0.04526012903225805
12,G4->1,0.04838257831325302
13,G6->1,0.05424810526315791
14,G6->0,0.07159843749999999
15,G6->2,0.08887835135135135
16,G11->0,0.11944325000000001
