,gestures,intersection
0,G3->0,0.10333333333333335
1,G2->0,0.107981220657277
2,G1->0,0.12213740458015267
3,G4->1,0.14583333333333334
4,G3->3,0.17105263157894735
5,G3->1,0.1900749063670412
6,G2->2,0.22341696535244923
7,G11->0,0.24047619047619043
8,G2->3,0.24755700325732896
9,G8->0,0.25021645021645017
10,G5->0,0.32075471698113206
11,G3->2,0.3434343434343434
12,G2->1,0.3569682151589242
13,G6->1,0.3671361502347417
14,G4->0,0.513888888888889
15,G6->0,0.5571095571095571
16,G6->3,0.6704119850187267
17,G6->2,0.7553763440860215
