,gestures,intersection
0,G8->0,0.08051948051948052
1,G3->1,0.2808988764044944
2,G6->2,0.29838709677419356
3,G4->1,0.4166666666666667
4,G1->0,0.4351145038167939
5,G2->1,0.4572127139364303
6,G6->1,0.4788732394366197
7,G2->0,0.49765258215962443
8,G2->3,0.498371335504886
9,G3->0,0.61
10,G2->2,0.6164874551971327
11,G6->0,0.7202797202797203
12,G5->0,0.7264150943396226
13,G11->0,0.7285714285714285
14,G6->3,0.7471910112359551
15,G3->2,0.7676767676767676
16,G3->3,0.881578947368421
17,G4->0,0.9791666666666666
