,gestures,intersection
0,G11->0,0.35833333333333334
1,G2->0,0.36200716845878134
2,G4->1,0.46502057613168724
3,G1->0,0.5395189003436426
4,G4->2,0.5487179487179487
5,G4->0,0.5787545787545788
6,G3->3,0.5884057971014492
7,G3->0,0.6236559139784946
8,G8->0,0.6418439716312055
9,G6->3,0.6510903426791277
10,G2->1,0.6516666666666667
11,G6->0,0.6756152125279642
12,G2->2,0.700942587832048
13,G3->1,0.7047619047619048
14,G2->3,0.7076190476190476
15,G6->1,0.7935103244837758
16,G6->2,0.8152173913043478
17,G5->0,0.8305709023941068
18,G3->2,0.8373983739837398
