,gestures,intersection
0,G1->0,0.15
1,G4->1,0.2522522522522523
2,G2->0,0.26925064599483206
3,G8->0,0.3420235878336437
4,G2->3,0.35564304461942253
5,G2->2,0.3915229885057472
6,G2->1,0.43352059925093633
7,G4->0,0.44077134986225897
8,G4->2,0.4623655913978495
9,G6->2,0.4679487179487179
10,G6->1,0.5273865414710485
11,G6->3,0.5576519916142558
12,G11->0,0.56
13,G3->1,0.5777777777777778
14,G3->2,0.6011904761904762
15,G6->0,0.6067510548523207
16,G3->0,0.629251700680272
17,G3->3,0.6533333333333333
18,G5->0,0.7911877394636014
