,gestures,intersection
0,G3->0,0.011621770408163264
1,G3->1,0.019848314285714288
2,G6->1,0.02075235211267604
3,G3->2,0.021403053571428576
4,G2->3,0.02161438976377952
5,G2->0,0.021788331782945702
6,G2->2,0.024951799568965514
7,G6->0,0.02510563291139241
8,G2->1,0.025268542134831474
9,G3->3,0.026166760000000004
10,G4->0,0.029698214876033052
11,G6->2,0.03027521794871796
12,G8->0,0.031568364990689
13,G4->2,0.03349445967741934
14,G4->1,0.036228621621621625
15,G5->0,0.0537203735632184
16,G11->0,0.08934677
