,gestures,intersection
0,G4->2,0.05859594285714284
1,G6->1,0.06706913928571424
2,G2->0,0.0673909282868526
3,G3->2,0.06965636942675162
4,G3->0,0.0766123555555556
5,G4->0,0.07751129166666669
6,G6->0,0.08077917948717947
7,G2->1,0.09662445977011501
8,G3->1,0.10211975806451613
9,G4->1,0.11490738461538463
10,G2->3,0.1205151223021582
11,G3->3,0.15614015492957747
12,G11->0,0.1795040970873784
13,G2->2,0.21967970731707295
14,G8->0,0.24919966808510635
15,G5->0,0.2639335454545454
16,G6->2,0.6297478377483444
