,gestures,intersection
0,G4->1,0.024612888513668014
1,G1->0,0.043705402580008434
2,G4->2,0.05703925114022509
3,G2->3,0.06104418646595028
4,G2->0,0.06560494346982565
5,G3->1,0.06795164621268669
6,G11->0,0.10775037456172813
7,G2->2,0.11095616769369465
8,G3->0,0.125646940751556
9,G6->0,0.15293139008101111
10,G3->3,0.16596081903096885
11,G2->1,0.16925077007548084
12,G4->0,0.1808376237878306
13,G5->0,0.23089598379330156
14,G3->2,0.23379788492367956
15,G8->0,0.2381652264698613
16,G6->3,0.27342821189024624
17,G6->1,0.28299698814052093
18,G6->2,0.3405696915827621
