,gestures,intersection
0,G2->2,0.02972972972972973
1,G6->3,0.0782051282051282
2,G1->0,0.08
3,G2->3,0.08418657565415244
4,G3->0,0.09722222222222221
5,G4->2,0.130879345603272
6,G2->0,0.138755980861244
7,G4->0,0.1530054644808743
8,G5->0,0.15577889447236182
9,G2->1,0.17037037037037037
10,G3->3,0.18055555555555558
11,G3->1,0.21311475409836067
12,G4->1,0.25925925925925924
13,G11->0,0.30597014925373134
14,G3->2,0.38461538461538464
15,G6->0,0.49568965517241387
16,G6->2,0.519753086419753
17,G8->0,0.7278911564625851
18,G6->1,0.8177458033573141
