,gestures,intersection
0,G1->0,0.002169245960127332
1,G6->3,0.036555336645285375
2,G4->1,0.09131327386229232
3,G2->3,0.12226533212544301
4,G2->2,0.15891061283643101
5,G6->1,0.21280998974153656
6,G6->0,0.23269452471241459
7,G2->0,0.23469615400927454
8,G4->2,0.24269703616868737
9,G3->1,0.26862477231329684
10,G2->1,0.2883744334547599
11,G11->0,0.33824229508183684
12,G5->0,0.40048555351588555
13,G3->2,0.4434209224034708
14,G3->0,0.47400674535713666
15,G3->3,0.48063017118802404
16,G6->2,0.5344390212624023
17,G4->0,0.5424299040030879
18,G8->0,0.7752613240418119
