,x1,y1,z1,x2,y2,z2,status
0,0.061101,0.055553,-0.031987,0.089323,0.035326,-0.068777,1.0
1,0.061087,0.055612,-0.031936,0.089922,0.035303,-0.06882,1.0
2,0.061121,0.05574,-0.032024,0.091145,0.035076,-0.068791,1.0
3,0.061265,0.05607,-0.03218,0.092424,0.034628,-0.068578,1.0
4,0.061658,0.056596,-0.032423,0.093334,0.034325,-0.067964,1.0
5,0.061915,0.056894,-0.032594,0.093602,0.034319,-0.067542,1.0
6,0.062681,0.057316,-0.033036,0.093649,0.034448,-0.066456,1.0
7,0.06384,0.057306,-0.03332,0.093312,0.034547,-0.065076,1.0
8,0.06514,0.05678,-0.033499,0.092799,0.034573,-0.063518,1.0
9,0.065818,0.05639,-0.033507,0.092503,0.034529,-0.062765,1.0
10,0.067288,0.055438,-0.03328,0.091785,0.034413,-0.061363,1.0
11,0.068705,0.054315,-0.032808,0.09104,0.034451,-0.060166,1.0
12,0.069381,0.053833,-0.032487,0.090726,0.034575,-0.059697,1.0
13,0.070833,0.053297,-0.031763,0.090131,0.034994,-0.059087,1.0
14,0.07196,0.053362,-0.031054,0.089488,0.035484,-0.058769,1.0
15,0.072338,0.053534,-0.030687,0.089125,0.03569,-0.05864,1.0
16,0.072709,0.053881,-0.029959,0.088311,0.035914,-0.058317,1.0
17,0.072541,0.054173,-0.029218,0.087586,0.035892,-0.057925,1.0
18,0.072137,0.054206,-0.028566,0.087185,0.035732,-0.057551,1.0
19,0.071901,0.054115,-0.028307,0.087099,0.035625,-0.057342,1.0
20,0.071295,0.053922,-0.027946,0.087052,0.035456,-0.056856,1.0
21,0.070706,0.05387,-0.027831,0.087198,0.035346,-0.056228,1.0
22,0.070462,0.053862,-0.02785,0.087281,0.035299,-0.055868,1.0
23,0.070191,0.053851,-0.027902,0.087367,0.035192,-0.05515,1.0
24,0.070218,0.053804,-0.027964,0.087396,0.035139,-0.054537,1.0
25,0.070384,0.053714,-0.027911,0.087402,0.035158,-0.054092,1.0
26,0.070503,0.053696,-0.027865,0.087402,0.035162,-0.053957,1.0
27,0.070586,0.053688,-0.027842,0.087435,0.03512,-0.0537,1.0
28,0.070569,0.053779,-0.027792,0.087605,0.035124,-0.053481,1.0
29,0.070553,0.053862,-0.027763,0.0877,0.035136,-0.053437,1.0
30,0.070393,0.053934,-0.027698,0.087891,0.035057,-0.053424,1.0
31,0.070269,0.053965,-0.027601,0.088141,0.034953,-0.053353,1.0
32,0.070227,0.053999,-0.027572,0.088265,0.03488,-0.05329,1.0
33,0.070011,0.054031,-0.027534,0.088507,0.034614,-0.053113,1.0
34,0.069802,0.054088,-0.027481,0.088653,0.034285,-0.052711,1.0
35,0.069526,0.0542,-0.02747,0.088637,0.034039,-0.052013,1.0
36,0.069345,0.054268,-0.027487,0.088612,0.033955,-0.051557,1.0
37,0.068912,0.05443,-0.027569,0.088537,0.033839,-0.050618,1.0
38,0.068461,0.054633,-0.02767,0.088446,0.033737,-0.049778,1.0
39,0.067999,0.054735,-0.027767,0.088431,0.03366,-0.049082,1.0
40,0.067813,0.054775,-0.027796,0.088417,0.033713,-0.04887,1.0
41,0.067535,0.054843,-0.02782,0.08827,0.034036,-0.048724,1.0
42,0.067359,0.054926,-0.027811,0.088072,0.034413,-0.04872,1.0
43,0.067342,0.054959,-0.027798,0.087993,0.034589,-0.048714,1.0
44,0.067371,0.054952,-0.02776,0.087888,0.034911,-0.048713,1.0
45,0.06742,0.054928,-0.027688,0.087813,0.035033,-0.048613,1.0
