,x1,y1,z1,x2,y2,z2,status
0,0.064973,0.054145,-0.01345,0.087776,0.034515,-0.039006,1.0
1,0.064919,0.054197,-0.013465,0.087777,0.034343,-0.038668,1.0
2,0.064861,0.054283,-0.013468,0.087794,0.034226,-0.038307,1.0
3,0.064834,0.054329,-0.013465,0.087806,0.034187,-0.038111,1.0
4,0.064804,0.054395,-0.013456,0.087819,0.034117,-0.037739,1.0
5,0.064795,0.054426,-0.013447,0.087838,0.034083,-0.037359,1.0
6,0.064799,0.054431,-0.01345,0.087855,0.034102,-0.037015,1.0
7,0.064804,0.054436,-0.013454,0.087871,0.034131,-0.036858,1.0
8,0.064786,0.054454,-0.013475,0.087886,0.034237,-0.036589,1.0
9,0.064756,0.054448,-0.013504,0.08792,0.034399,-0.036388,1.0
10,0.064751,0.054444,-0.013507,0.087938,0.034494,-0.036315,1.0
11,0.064739,0.054453,-0.013498,0.088005,0.034661,-0.036189,1.0
12,0.064749,0.054455,-0.013497,0.088061,0.034774,-0.036086,1.0
13,0.064765,0.054454,-0.0135,0.088095,0.034809,-0.036021,1.0
14,0.06477,0.054455,-0.0135,0.088101,0.034784,-0.035996,1.0
15,0.064781,0.054452,-0.013504,0.088092,0.034713,-0.035935,1.0
16,0.064784,0.054432,-0.013522,0.08809,0.034622,-0.035831,1.0
17,0.064781,0.054413,-0.013539,0.088098,0.034581,-0.035761,1.0
18,0.064787,0.054371,-0.013577,0.088119,0.034528,-0.03561,1.0
19,0.064793,0.054329,-0.013615,0.088144,0.0345,-0.03546,1.0
20,0.064791,0.054304,-0.013638,0.088175,0.034521,-0.035316,1.0
21,0.064792,0.054298,-0.013643,0.088209,0.034564,-0.035253,1.0
22,0.064792,0.054297,-0.013651,0.088301,0.034669,-0.035125,1.0
23,0.064797,0.054301,-0.013647,0.088425,0.03477,-0.034996,1.0
24,0.064796,0.054304,-0.013645,0.088494,0.034794,-0.034929,1.0
25,0.064787,0.054292,-0.013661,0.088643,0.034758,-0.034809,1.0
26,0.06477,0.054268,-0.013681,0.088841,0.034595,-0.034734,1.0
27,0.064775,0.054269,-0.013694,0.089047,0.034356,-0.034763,1.0
28,0.064771,0.054258,-0.013703,0.089056,0.034238,-0.034789,1.0
29,0.06473,0.054224,-0.013742,0.088932,0.034073,-0.034796,1.0
30,0.064705,0.054214,-0.013823,0.088865,0.034086,-0.034783,1.0
31,0.064679,0.054213,-0.013881,0.088865,0.034083,-0.034785,1.0
32,0.064621,0.054224,-0.01404,0.088916,0.03404,-0.034813,1.0
33,0.064524,0.054255,-0.014237,0.088894,0.034013,-0.03484,1.0
34,0.064481,0.054307,-0.014348,0.088858,0.034014,-0.034838,1.0
35,0.064417,0.054396,-0.014517,0.088739,0.034009,-0.034837,1.0
36,0.064399,0.054413,-0.014635,0.088578,0.033977,-0.034856,1.0
37,0.064394,0.054375,-0.014717,0.0884,0.033902,-0.034907,1.0
38,0.064391,0.05436,-0.014737,0.08831,0.03384,-0.034952,1.0
39,0.064387,0.05435,-0.014779,0.088134,0.033675,-0.035065,1.0
40,0.064372,0.05439,-0.014857,0.087937,0.033491,-0.0352,1.0
41,0.064356,0.054393,-0.014906,0.087831,0.033407,-0.035261,1.0
42,0.064332,0.054417,-0.015052,0.087555,0.033242,-0.035372,1.0
43,0.064299,0.054469,-0.015157,0.087198,0.033089,-0.035447,1.0
44,0.064286,0.054527,-0.015197,0.086737,0.032971,-0.035485,1.0
45,0.064262,0.05455,-0.015194,0.086475,0.032902,-0.035517,1.0
46,0.064232,0.054579,-0.015178,0.085916,0.032732,-0.035625,1.0
47,0.064196,0.054656,-0.015185,0.085305,0.032491,-0.035795,1.0
48,0.06416,0.05469,-0.015191,0.085017,0.032356,-0.035892,1.0
49,0.064101,0.054745,-0.015208,0.084438,0.032077,-0.036093,1.0
50,0.064039,0.054784,-0.015192,0.08397,0.031864,-0.036255,1.0
51,0.064013,0.054787,-0.015179,0.083655,0.031756,-0.036331,1.0
52,0.064018,0.054787,-0.015179,0.083559,0.031739,-0.036348,1.0
53,0.064006,0.054799,-0.015174,0.083487,0.031749,-0.036339,1.0
54,0.063928,0.054807,-0.015137,0.083508,0.031759,-0.036331,1.0
55,0.063864,0.054817,-0.015126,0.083534,0.031755,-0.036335,1.0
56,0.063736,0.054853,-0.015072,0.083575,0.03174,-0.036347,1.0
57,0.063685,0.054922,-0.014996,0.08358,0.03173,-0.036356,1.0
58,0.063718,0.054949,-0.014895,0.083569,0.031723,-0.036361,1.0
59,0.063746,0.054928,-0.014842,0.083564,0.031727,-0.036358,1.0
60,0.063806,0.05487,-0.014766,0.083569,0.031724,-0.03636,1.0
61,0.063807,0.054859,-0.014716,0.083567,0.0317,-0.036385,1.0
62,0.063793,0.054892,-0.014684,0.083561,0.031684,-0.036399,1.0
63,0.063763,0.054963,-0.014582,0.083539,0.031668,-0.036411,1.0
64,0.063766,0.055017,-0.014426,0.083513,0.031669,-0.036409,1.0
65,0.063774,0.055035,-0.014222,0.083476,0.031667,-0.036409,1.0
66,0.063792,0.055059,-0.014115,0.083471,0.031663,-0.036419,1.0
67,0.06385,0.055125,-0.013908,0.083458,0.031631,-0.036444,1.0
68,0.063917,0.055239,-0.013727,0.08344,0.031593,-0.03648,1.0
69,0.063949,0.055305,-0.013645,0.083413,0.031579,-0.036491,1.0
70,0.064061,0.055465,-0.013497,0.083339,0.03157,-0.036496,1.0
71,0.064198,0.05563,-0.013348,0.083213,0.031574,-0.036489,1.0
72,0.064294,0.055719,-0.013261,0.083124,0.031573,-0.036488,1.0
73,0.064479,0.055901,-0.013069,0.082928,0.031558,-0.036508,1.0
74,0.064669,0.056084,-0.012852,0.082741,0.031513,-0.036545,1.0
75,0.064836,0.056205,-0.012627,0.082574,0.031472,-0.036592,1.0
76,0.064926,0.056257,-0.012513,0.08251,0.031456,-0.036617,1.0
77,0.06507,0.056284,-0.012302,0.082412,0.031428,-0.036656,1.0
78,0.065191,0.056216,-0.012116,0.082365,0.031428,-0.036668,1.0
79,0.065231,0.056153,-0.012037,0.082359,0.031436,-0.036668,1.0
80,0.065256,0.055967,-0.011942,0.08237,0.031441,-0.036664,1.0
81,0.065248,0.055839,-0.0119,0.082381,0.03144,-0.036665,1.0
82,0.065137,0.055683,-0.011988,0.08237,0.031437,-0.036667,1.0
83,0.065077,0.0556,-0.012073,0.08237,0.031437,-0.036667,1.0
84,0.064988,0.055542,-0.012154,0.082375,0.031445,-0.036674,1.0
85,0.064935,0.055554,-0.012109,0.082365,0.031456,-0.036672,1.0
86,0.064929,0.055565,-0.012093,0.082365,0.03146,-0.036669,1.0
87,0.064969,0.055604,-0.012071,0.082345,0.031464,-0.036665,1.0
88,0.065008,0.055618,-0.012063,0.082328,0.031454,-0.036672,1.0
89,0.065049,0.055655,-0.012055,0.082328,0.031457,-0.036676,1.0
90,0.065052,0.055674,-0.012039,0.082323,0.031461,-0.03668,1.0
91,0.065048,0.055737,-0.011991,0.082297,0.031466,-0.036675,1.0
92,0.065065,0.055836,-0.011926,0.082265,0.031463,-0.036677,1.0
93,0.06508,0.055876,-0.011894,0.082239,0.031464,-0.036675,1.0
94,0.065112,0.055938,-0.011864,0.082192,0.031461,-0.03667,1.0
95,0.065178,0.055979,-0.011876,0.082144,0.031463,-0.036674,1.0
96,0.065201,0.055962,-0.011947,0.082092,0.031453,-0.036667,1.0
97,0.065184,0.055897,-0.012015,0.082065,0.03145,-0.036662,1.0
98,0.065085,0.055768,-0.012207,0.081987,0.031445,-0.036651,1.0
99,0.064875,0.055624,-0.012448,0.081892,0.031421,-0.036635,1.0
100,0.064754,0.055501,-0.012607,0.08184,0.03142,-0.036628,1.0
101,0.064443,0.055219,-0.012991,0.081772,0.031428,-0.03662,1.0
102,0.064083,0.055068,-0.013423,0.081766,0.031428,-0.036626,1.0
103,0.063627,0.055093,-0.013876,0.081777,0.031428,-0.03662,1.0
104,0.063404,0.055143,-0.014088,0.081772,0.031431,-0.036617,1.0
105,0.062979,0.055274,-0.014506,0.081757,0.031435,-0.036614,1.0
106,0.062702,0.055345,-0.014814,0.08173,0.031432,-0.036615,1.0
107,0.062635,0.055341,-0.01491,0.081714,0.031433,-0.036615,1.0
108,0.06264,0.055267,-0.014984,0.081672,0.031428,-0.036617,1.0
109,0.062716,0.055231,-0.014971,0.081598,0.031429,-0.036615,1.0
110,0.062787,0.055246,-0.014919,0.08154,0.03142,-0.036627,1.0
111,0.062797,0.055244,-0.014895,0.081502,0.031407,-0.036636,1.0
112,0.062805,0.055228,-0.014863,0.081462,0.031363,-0.03667,1.0
113,0.062786,0.055218,-0.014789,0.081432,0.031315,-0.036708,1.0
114,0.062774,0.055232,-0.014714,0.08142,0.031303,-0.036724,1.0
115,0.062784,0.055283,-0.014481,0.081388,0.031294,-0.036731,1.0
116,0.062796,0.055311,-0.014174,0.081362,0.031308,-0.036732,1.0
117,0.062798,0.055303,-0.013993,0.081346,0.031305,-0.03674,1.0
118,0.062823,0.055232,-0.013636,0.081311,0.031261,-0.036788,1.0
119,0.062848,0.055125,-0.013318,0.081277,0.031162,-0.036873,1.0
120,0.062871,0.055037,-0.01309,0.081223,0.03108,-0.036957,1.0
121,0.062878,0.055023,-0.013003,0.081168,0.031056,-0.036982,1.0
122,0.06289,0.055048,-0.012856,0.081023,0.031037,-0.03702,1.0
123,0.062927,0.055086,-0.01274,0.080863,0.031035,-0.037044,1.0
124,0.062952,0.055093,-0.012683,0.080777,0.031029,-0.037067,1.0
125,0.063029,0.055095,-0.012564,0.080598,0.030974,-0.037133,1.0
126,0.063119,0.055114,-0.012438,0.080392,0.030857,-0.037249,1.0
127,0.063219,0.055174,-0.012317,0.080156,0.030688,-0.037407,1.0
128,0.063246,0.0552,-0.012251,0.080036,0.0306,-0.037496,1.0
129,0.063279,0.055267,-0.012117,0.079764,0.030417,-0.037705,1.0
130,0.033282,0.053482,-0.014012,0.058767,0.04005,-0.051596,1.0
131,0.033374,0.053398,-0.013494,0.058838,0.040059,-0.051631,1.0
132,0.033381,0.053327,-0.013206,0.058866,0.04007,-0.051631,1.0
133,0.033309,0.05306,-0.012665,0.058887,0.040124,-0.051598,1.0
134,0.033241,0.052604,-0.012202,0.05888,0.040173,-0.05155,1.0
135,0.033221,0.0524,-0.012055,0.05888,0.040181,-0.051533,1.0
136,0.033221,0.052164,-0.011868,0.05888,0.040179,-0.051529,1.0
137,0.033274,0.05207,-0.011811,0.058887,0.040163,-0.051522,1.0
138,0.0333,0.052062,-0.011847,0.058873,0.040173,-0.051498,1.0
139,0.033262,0.052084,-0.011863,0.058873,0.040187,-0.051484,1.0
140,0.033082,0.052154,-0.011921,0.058892,0.040225,-0.051449,1.0
141,0.032775,0.052277,-0.011996,0.058916,0.040271,-0.051415,1.0
142,0.032577,0.05236,-0.012061,0.058922,0.040285,-0.051395,1.0
143,0.032095,0.052661,-0.012302,0.058934,0.040316,-0.051325,1.0
144,0.031497,0.053085,-0.012696,0.058941,0.040308,-0.051232,1.0
145,0.03119,0.053297,-0.012942,0.058951,0.040296,-0.051176,1.0
146,0.030583,0.05378,-0.01359,0.058965,0.040281,-0.051059,1.0
147,0.029962,0.05425,-0.014433,0.058996,0.040291,-0.050961,1.0
148,0.029453,0.054555,-0.01547,0.059017,0.040322,-0.050863,1.0
149,0.029285,0.054625,-0.015994,0.059019,0.040352,-0.050821,1.0
150,0.028972,0.054509,-0.016973,0.059028,0.040441,-0.050761,1.0
151,0.028777,0.05393,-0.017683,0.059051,0.040556,-0.050709,1.0
152,0.02875,0.053537,-0.017924,0.059072,0.040601,-0.05067,1.0
