,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,status
0,0.491651,-0.60057,0.63055,0.186267,0.779883,0.597567,-0.850636,-0.176343,0.495297,0.524461,0.221295,-0.822172,0.201086,0.906122,0.372163,0.827347,-0.360513,0.430726,1.0
1,0.500436,-0.598804,0.625297,0.1797,0.778354,0.601558,-0.846918,-0.188676,0.497121,0.529721,0.208769,-0.822077,0.220985,0.901788,0.371408,0.818877,-0.378409,0.431561,1.0
2,0.523529,-0.593874,0.610925,0.170705,0.775616,0.607683,-0.834731,-0.213852,0.507435,0.551087,0.178778,-0.81507,0.276851,0.882279,0.380705,0.787181,-0.435455,0.436718,1.0
3,0.546393,-0.588382,0.596037,0.161573,0.772345,0.61431,-0.821795,-0.239352,0.517071,0.572935,0.128929,-0.809396,0.352346,0.852889,0.385267,0.739998,-0.505921,0.443222,1.0
4,0.558808,-0.582586,0.590192,0.157626,0.77332,0.614108,-0.814178,-0.250139,0.523968,0.575524,0.117932,-0.809236,0.368367,0.846086,0.385283,0.730121,-0.519836,0.4435,1.0
5,0.577408,-0.572547,0.582056,0.156194,0.777201,0.609557,-0.801375,-0.26105,0.538191,0.575781,0.105403,-0.810781,0.386661,0.838648,0.383616,0.720395,-0.534376,0.442122,1.0
6,0.592794,-0.566635,0.572293,0.154201,0.777321,0.609911,-0.790453,-0.273303,0.548167,0.578712,0.082943,-0.811302,0.418266,0.823825,0.382577,0.700103,-0.560743,0.442065,1.0
7,0.607171,-0.563706,0.559979,0.163183,0.7782,0.606444,-0.777633,-0.276837,0.564488,0.587756,0.076146,-0.805446,0.425904,0.81732,0.388062,0.687857,-0.571129,0.447954,1.0
8,0.612607,-0.560782,0.556987,0.165834,0.78021,0.603133,-0.772794,-0.277116,0.570959,0.591795,0.07738,-0.802365,0.424526,0.816238,0.391832,0.685241,-0.572509,0.450196,1.0
9,0.619952,-0.556824,0.552815,0.168136,0.782457,0.599575,-0.766412,-0.27876,0.578709,0.606613,0.070798,-0.791837,0.428324,0.809996,0.400554,0.669744,-0.582145,0.46103,1.0
10,0.628882,-0.548526,0.551022,0.16995,0.788553,0.591017,-0.758698,-0.278034,0.589129,0.620372,0.063015,-0.781771,0.424568,0.811111,0.402294,0.659454,-0.581487,0.476437,1.0
11,0.637111,-0.541925,0.548092,0.172881,0.793451,0.583562,-0.751132,-0.277039,0.599206,0.627201,0.056463,-0.776807,0.423203,0.812581,0.400762,0.653847,-0.580106,0.485757,1.0
12,0.653318,-0.530817,0.539823,0.180347,0.80162,0.569982,-0.735289,-0.275024,0.619444,0.637668,0.042719,-0.769125,0.423158,0.81489,0.396094,0.643674,-0.578038,0.501552,1.0
13,0.66288,-0.528223,0.530631,0.18625,0.802769,0.566456,-0.725189,-0.276662,0.630521,0.645454,0.029463,-0.76323,0.424739,0.816659,0.390721,0.634811,-0.576366,0.514602,1.0
14,0.671232,-0.524649,0.523632,0.191224,0.805071,0.561509,-0.716156,-0.276772,0.640715,0.650859,0.027512,-0.758698,0.41979,0.819632,0.389844,0.632579,-0.572228,0.521917,1.0
15,0.699457,-0.512976,0.497608,0.207504,0.812049,0.545451,-0.683886,-0.278264,0.674439,0.66446,0.025772,-0.746879,0.403871,0.828509,0.387892,0.628793,-0.559382,0.540102,1.0
16,0.721483,-0.507675,0.470879,0.222812,0.814083,0.536304,-0.655604,-0.282017,0.700463,0.678449,0.014974,-0.734494,0.393221,0.837114,0.380283,0.62055,-0.546822,0.562051,1.0
17,0.733849,-0.503618,0.455887,0.23203,0.816569,0.52856,-0.638456,-0.282103,0.716093,0.694098,0.01732,-0.719671,0.370165,0.848831,0.377441,0.617417,-0.528378,0.582761,1.0
18,0.740555,-0.501474,0.447326,0.237107,0.817848,0.524312,-0.628774,-0.282218,0.724565,0.703651,0.029429,-0.709935,0.351223,0.854139,0.383522,0.61767,-0.519211,0.59068,1.0
19,0.750013,-0.496399,0.437112,0.243154,0.82152,0.515732,-0.615106,-0.280521,0.736852,0.715063,0.040841,-0.697864,0.338825,0.852944,0.397093,0.611457,-0.520401,0.596071,1.0
20,0.759594,-0.493442,0.42371,0.248407,0.82218,0.512165,-0.60109,-0.283785,0.747097,0.713547,0.037745,-0.699589,0.340132,0.854314,0.39301,0.612503,-0.518384,0.596755,1.0
