,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
9141,2436,0.058021,0.05201,-0.017817,0.864174,0.006342,-0.503152,0.214645,0.899737,0.379999,0.455115,-0.436384,0.776169,-0.007055,0.002503,0.012556,0.29668,-0.112251,-0.065042,-0.905407,0.077516,0.028227,-0.036686,0.721076,-0.204249,-0.662065,0.207503,0.975362,-0.074903,0.661052,-0.08337,0.745693,-0.007087,-0.004982,0.004886,-0.040675,0.029064,-0.051831,-0.778915,1
9142,2437,0.057753,0.052369,-0.017415,0.863908,0.008209,-0.503581,0.211789,0.901245,0.378023,0.456953,-0.433231,0.776854,-0.007794,0.009274,0.009709,0.000086,0.086442,-0.164398,-0.90753,0.077409,0.028152,-0.036627,0.719642,-0.20637,-0.662967,0.208371,0.974989,-0.077312,0.662341,-0.082506,0.744644,-0.007117,0.000138,0.000242,0.153329,-0.108844,0.151593,-0.779078,1
9143,2438,0.057648,0.052509,-0.017215,0.864131,0.008616,-0.503192,0.211475,0.901079,0.378595,0.456677,-0.433569,0.776828,-0.007113,0.003504,0.013404,-0.039532,-0.022416,0.023877,-0.907857,0.077361,0.028124,-0.036602,0.719532,-0.206591,-0.663018,0.208658,0.974926,-0.077335,0.66237,-0.082699,0.744597,0.000007,-0.005289,0.004509,-0.036493,0.012252,-0.019671,-0.779405,1
9144,2439,0.057518,0.052813,-0.016775,0.862496,0.014166,-0.505865,0.207827,0.90151,0.379589,0.461419,-0.432526,0.774605,-0.000267,0.004542,0.013518,-0.027588,0.057961,-0.14395,-0.909653,0.07728,0.028079,-0.036572,0.71794,-0.208958,-0.664001,0.209549,0.974511,-0.080102,0.663815,-0.081632,0.743427,-0.007111,0.0002,0.000292,-0.001471,0.015047,-0.029982,-0.778915,1
9145,2440,0.0575,0.053099,-0.016326,0.8618,0.01464,-0.507035,0.207016,0.902397,0.377918,0.46308,-0.430654,0.774656,-0.000322,0.005135,0.013999,0.005925,0.051112,-0.140859,-0.907857,0.077209,0.028039,-0.036556,0.717787,-0.209256,-0.664073,0.209894,0.97443,-0.080182,0.663872,-0.081831,0.743355,-0.000054,-0.000545,-0.000449,-0.000007,0.000001,-0.000019,-0.779078,1
9146,2441,0.057509,0.053245,-0.016074,0.861399,0.015784,-0.507682,0.205334,0.903381,0.376483,0.464572,-0.428547,0.774931,-0.000416,0.00614,0.014895,0.003944,-0.058614,0.020458,-0.90802,0.077176,0.028023,-0.036555,0.717836,-0.209177,-0.664044,0.209869,0.974444,-0.080084,0.663826,-0.081875,0.743391,-0.000071,-0.000713,-0.000588,-0.000009,0.000007,-0.00002,-0.779405,1
9147,2442,0.057557,0.053521,-0.015476,0.860369,0.02312,-0.509146,0.197786,0.905537,0.375344,0.469729,-0.423636,0.774523,0.006911,0.002743,0.01996,0.263487,-0.151561,-0.007644,-0.913572,0.07712,0.027992,-0.036574,0.716582,-0.21091,-0.66485,0.210121,0.974182,-0.082569,0.6651,-0.080532,0.742398,-0.000089,-0.000922,-0.000761,-0.000864,0.000576,-0.000721,-0.779731,1
9148,2443,0.057642,0.053696,-0.014767,0.859694,0.026069,-0.510143,0.193971,0.90723,0.373241,0.472547,-0.419826,0.774884,0.006922,0.002319,0.019455,-0.021423,0.03827,-0.146079,-0.915368,0.077069,0.027956,-0.036603,0.716737,-0.210643,-0.664768,0.209928,0.974241,-0.082366,0.664994,-0.080519,0.742494,-0.00008,-0.000817,-0.000672,-0.000022,0.000011,-0.000026,-0.780385,1
9149,2444,0.057789,0.053684,-0.014001,0.858646,0.031647,-0.511589,0.186437,0.910443,0.369234,0.477458,-0.41242,0.775849,0.007052,0.000654,0.017838,0.506063,-0.145325,-0.362977,-0.912592,0.077001,0.027918,-0.036633,0.715459,-0.212415,-0.665579,0.21019,0.973967,-0.084893,0.666285,-0.079161,0.741482,-0.007196,-0.000638,-0.000406,-0.001142,0.014836,-0.029689,-0.780548,1
9150,2445,0.057879,0.053616,-0.013606,0.857942,0.034515,-0.512585,0.182683,0.912033,0.36718,0.480168,-0.40866,0.776167,0.007104,0.000024,0.01723,0.503517,-0.112527,-0.251933,-0.910959,0.076972,0.0279,-0.036648,0.71544,-0.212453,-0.665588,0.210219,0.973958,-0.08492,0.666297,-0.079164,0.741471,-0.000108,-0.001091,-0.000902,-0.000029,0.000014,-0.000028,-0.780548,1
